joueur,nationalité,équipe,âge,naissance,matchs joués,minutes jouées,buts,passes décisives,carton jaune,carton rouge
Ismael Aaneba\Ismael-Aaneba,fr FRA,Strasbourg,21-321,1999,2,11,0,0,0,0
Yunis Abdelhamid\Yunis-Abdelhamid,ma MAR,Reims,33-199,1987,28,2520,3,0,4,0
Mehdi Abeid\Mehdi-Abeid,dz ALG,Nantes,28-252,1992,18,1320,0,0,5,0
Laurent Abergel\Laurent-Abergel,fr FRA,Lorient,28-073,1993,32,2423,3,1,5,0
Charles Abi\Charles-Abi,fr FRA,Saint-Étienne,21-003,2000,19,775,3,2,1,0
Pape Abou Cisse\Pape-Abou-Cisse,sn SEN,Saint-Étienne,25-213,1995,10,900,0,0,1,0
Yacine Adli\Yacine-Adli,fr FRA,Bordeaux,20-260,2000,29,1894,1,5,6,0
Nayef Aguerd\Nayef-Aguerd,ma MAR,Rennes,25-016,1996,30,2700,3,1,4,0
Ruben Aguilar\Ruben-Aguilar,fr FRA,Monaco,27-354,1993,28,1974,1,3,6,0
Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,Nîmes,21-287,1999,15,807,2,0,0,0
Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,Marseille,21-023,2000,3,119,0,0,0,0
Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,Monaco,27-026,1994,2,36,0,0,0,0
Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,Strasbourg,27-026,1994,22,1734,2,2,7,0
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,Angers,19-313,2001,3,187,0,1,0,0
Ludovic Ajorque\Ludovic-Ajorque,re REU,Strasbourg,27-049,1994,29,2463,12,4,5,0
Marley Aké\Marley-Ake,fr FRA,Marseille,20-100,2001,9,146,0,0,0,0
Sofiane Alakouch\Sofiane-Alakouch,fr FRA,Nîmes,22-260,1998,19,1291,0,2,4,0
Mohamed Ali Cho\Mohamed-Ali-Cho,fr FRA,Angers,17-086,2004,15,225,0,0,1,0
Rachid Alioui\Rachid-Alioui,ma MAR,Angers,28-301,1992,1,15,0,0,0,0
Saturnin Allagbé\Saturnin-Allagbe,bj BEN,Dijon,27-144,1993,6,540,0,0,2,0
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,Angers,28-009,1993,21,1382,0,0,5,0
Romain Amalfitano\Romain-Amalfitano,fr FRA,Dijon,31-231,1989,2,116,0,0,0,0
Jordan Amavi\Jordan-Amavi,fr FRA,Marseille,27-037,1994,11,740,1,0,3,1
Thierry Ambrose\Thierry-Ambrose,fr FRA,Metz,24-018,1997,18,532,0,1,2,0
Joachim Andersen\Joachim-Andersen,dk DEN,Lyon,24-319,1996,3,192,0,0,1,0
Benjamin André\Benjamin-Andre,fr FRA,Lille,30-255,1990,30,2516,0,1,7,0
Victorien Angban\Victorien-Angban,ci CIV,Metz,24-198,1996,24,1582,0,1,4,0
Houssem Aouar\Houssem-Aouar,fr FRA,Lyon,22-289,1998,24,1552,5,3,2,1
Adil Aouchiche\Adil-Aouchiche,fr FRA,Saint-Étienne,18-274,2002,28,1497,2,5,2,0
Dennis Appiah\Dennis-Appiah,fr FRA,Nantes,28-310,1992,16,1059,0,2,3,0
Luiz Araújo\Luiz-Araujo,br BRA,Lille,24-317,1996,22,1253,3,2,4,0
Karim Aribi\Karim-Aribi,dz ALG,Nîmes,26-295,1994,12,292,0,0,0,0
Roger Assalé\Roger-Assale,ci CIV,Dijon,27-153,1993,15,688,1,1,0,1
Youcef Attal\Youcef-Attal,dz ALG,Nice,24-333,1996,12,573,1,0,1,0
Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,Nantes,23-303,1997,3,36,0,0,0,0
Ludovic Baal\Ludovic-Baal,gf GUF,Brest,34-326,1986,5,287,0,0,0,0
Loïc Bade\Loic-Bade,fr FRA,Lens,21-004,2000,26,2160,0,0,8,1
Stéphane Bahoken\Stephane-Bahoken,cm CMR,Angers,28-322,1992,24,1287,6,1,4,0
Stefan Bajic\Stefan-Bajic,fr FRA,Saint-Étienne,19-113,2001,1,90,0,0,0,0
Mitchel Bakker\Mitchel-Bakker,nl NED,Paris S-G,20-299,2000,23,1487,0,2,1,0
Dilane Bakwa\Dilane-Bakwa,fr FRA,Bordeaux,18-232,2002,7,56,0,0,0,0
Leonardo Balerdi\Leonardo-Balerdi,ar ARG,Marseille,22-079,1999,15,1183,2,0,4,1
Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,Monaco,24-102,1997,19,612,0,3,2,0
Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,Angers,30-355,1990,15,1257,0,0,2,0
Jonathan Bamba\Jonathan-Bamba,fr FRA,Lille,25-020,1996,32,2613,6,9,2,0
Robson Bambu\Robson-Bambu,br BRA,Nice,23-154,1997,15,1046,0,0,3,1
Simon Banza\Simon-Banza,fr FRA,Lens,24-245,1996,30,1259,5,2,4,0
Danilo Barbosa\Danilo-Barbosa,br BRA,Nice,25-046,1996,4,250,0,0,2,0
Melvin Bard\Melvin-Bard,fr FRA,Lyon,20-160,2000,13,342,0,0,0,1
Toma Bašić\Toma-Basic,hr CRO,Bordeaux,24-141,1996,29,2178,4,0,6,0
Cristian Battocchio\Cristian-Battocchio,it ITA,Brest,29-064,1992,15,355,0,0,0,0
Paul Baysse\Paul-Baysse,fr FRA,Bordeaux,32-332,1988,27,2312,2,2,4,1
Haris Belkebla\Haris-Belkebla,dz ALG,Brest,27-077,1994,30,2335,0,0,5,1
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,fr FRA,Strasbourg,22-292,1998,30,1755,1,1,3,0
Sami Ben Amar\Sami-Ben-Amar,ma MAR,Nîmes,23-044,1998,1,7,0,0,0,0
Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,Bordeaux,34-039,1987,21,1572,2,4,2,0
Salim Ben Seghir\Salim-Ben-Seghir,fr FRA,Nice,18-050,2003,1,7,0,0,0,0
Wissam Ben Yedder\Wissam-Ben-Yedder,fr FRA,Monaco,30-246,1990,31,2128,17,4,2,0
Samy Benchama\Samy-Benchama,fr FRA,Montpellier,20-294,2000,1,3,0,0,0,0
Darío Benedetto\Dario-Benedetto,ar ARG,Marseille,30-333,1990,28,1489,4,3,3,2
Walter Benítez\Walter-Benitez,ar ARG,Nice,28-027,1993,32,2880,0,0,3,0
Loris Benito\Loris-Benito,ch SUI,Bordeaux,29-098,1992,26,2201,0,0,5,1
Bilal Benkhedim\Bilal-Benkhedim,fr FRA,Saint-Étienne,19-360,2001,3,73,0,0,0,0
Djamel Benlamri\Djamel-Benlamri,dz ALG,Lyon,31-111,1989,5,137,0,0,0,0
Yassine Benrahou\Yassine-Benrahou,fr FRA,Nîmes,22-081,1999,21,1094,0,0,2,0
Yassine Benzia\Yassine-Benzia,dz ALG,Dijon,26-219,1994,5,249,0,0,1,0
Valon Berisha\Valon-Berisha,xk KVX,Reims,28-067,1993,24,1645,0,3,2,0
Paul Bernardoni\Paul-Bernardoni,fr FRA,Angers,23-362,1997,32,2880,0,0,1,0
Juan Bernat\Juan-Bernat,es ESP,Paris S-G,28-045,1993,3,194,0,0,2,0
Dimitry Bertaud\Dimitry-Bertaud,fr FRA,Montpellier,22-313,1998,6,475,0,0,0,0
Giulian Biancone\Giulian-Biancone,fr FRA,Monaco,21-015,2000,2,92,0,0,1,0
El Bilal Touré\El-Bilal-Toure,ml MLI,Reims,19-194,2001,28,1008,3,1,4,0
Ludovic Blas\Ludovic-Blas,fr FRA,Nantes,23-105,1997,30,2265,7,2,4,0
Antonin Bobichon\Antonin-Bobichon,fr FRA,Angers,25-213,1995,18,602,0,1,0,0
Sacha Boey\Sacha-Boey,fr FRA,Rennes,20-214,2000,2,124,0,0,0,1
Sacha Boey\Sacha-Boey,fr FRA,Dijon,20-214,2000,24,1863,0,1,1,0
Quentin Boisgard\Quentin-Boisgard,fr FRA,Lorient,24-029,1997,23,1304,2,2,5,0
Sven Botman\Sven-Botman,nl NED,Lille,21-093,2000,31,2769,0,0,2,0
Denis Bouanga\Denis-Bouanga,ga GAB,Saint-Étienne,26-155,1994,31,2342,6,3,7,0
Hicham Boudaoui\Hicham-Boudaoui,dz ALG,Nice,21-204,1999,19,1317,1,2,7,0
Ryad Boudebouz\Ryad-Boudebouz,dz ALG,Saint-Étienne,31-055,1990,13,640,0,1,2,0
Sofiane Boufal\Sofiane-Boufal,ma MAR,Angers,27-210,1993,14,732,1,0,3,0
Farid Boulaya\Farid-Boulaya,dz ALG,Metz,28-049,1993,28,2458,5,5,5,0
