serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Aya de Yopougon,"Aya de Yopougon, Tome 1",1,2070573117,Tranche de vie,Abouet, Marguerite,Oubrerie, Clément,Gallimard,2005-11-17
Aya de Yopougon,"Aya de Yopougon, Tome 2",2,2070575888,Tranche de vie,Abouet, Marguerite,Oubrerie, Clément,Gallimard,2006-09-15
Aya de Yopougon,"Aya de Yopougon, Tome 4",4,2070619958,Tranche de vie,Abouet, Marguerite,Oubrerie, Clément,Gallimard,2008-11-21
Aya de Yopougon,"Aya de Yopougon, Tome 5",5,2070628035,Tranche de vie,Abouet, Marguerite,Oubrerie, Clément,Gallimard,2009-11-04
Aya de Yopougon,"Aya de Yopougon, Tome 6",6,2070695123,Tranche de vie,Abouet, Marguerite,Oubrerie, Clément,Gallimard,2010-11-15
Maus,Intégrale Maus,0,2080675346,Biographie,Spiegelman, Art,Spiegelman, Art,Flammarion,1998-02-01
Tintin (Éditions Casterman couleurs),Tintin au Congo,2,2203001011,Aventure,Hergé,,Hergé,,Casterman,1975-01-01
Tintin (Éditions Casterman couleurs),Les cigares du pharaon,4,2203001038,Aventure,Hergé,,Hergé,,Casterman,1980-09-01
Tintin (Éditions Casterman couleurs),Le lotus bleu,5,2203001046,Aventure,Hergé,,Hergé,,Casterman,1993-01-01
Tintin (Éditions Casterman couleurs),L'île noire,7,2203001062,Aventure,Hergé,,Hergé,,Casterman,1993-05-01
Tintin (Éditions Casterman couleurs),L'étoile mystérieuse,10,2203001097,Aventure,Hergé,,Hergé,,Casterman,1987-01-01
Tintin (Éditions Casterman couleurs),Le trésor de Rackham Le Rouge,12,2203001119,Aventure,Hergé,,Hergé,,Casterman,1993-05-01
Tintin (Éditions Casterman couleurs),Les 7 boules de cristal,13,2203001127,Aventure,Hergé,,Hergé,,Casterman,1993-05-01
Tintin (Éditions Casterman couleurs),Tintin au pays de l'or noir,15,2203001143,Aventure,Hergé,,Hergé,,Casterman,1993-05-01
Tintin (Éditions Casterman couleurs),L'affaire Tournesol,18,2203001178,Aventure,Hergé,,Hergé,,Casterman,1990-01-01
Tintin (Éditions Casterman couleurs),Coke en stock,19,2203001186,Aventure,Hergé,,Hergé,,Casterman,1993-05-01
Tintin (Éditions Casterman couleurs),Tintin au Tibet,20,2203001194,Aventure,Hergé,,Hergé,,Casterman,1993-05-01
Tintin (Éditions Casterman couleurs),Les bijoux de la Castafiore,21,2203001208,Aventure,Hergé,,Hergé,,Casterman,1987-01-01
Tintin (Éditions Casterman couleurs),Tintin et les Picaros,23,2203001232,Aventure,Hergé,,Hergé,,Casterman,1976-01-01
Yakari,Yakari et Nanabozo,4,2203303042,Aventure,Job,,Derib,,Casterman,1978-09-01
Quick et Flupke (2e réédition couleurs),Jeux interdits,2,2203324015,Humour,Hergé,,Hergé,,Casterman,1985-09-01
Le Singe Et La ...,Le singe et la sirène,1,2203389818,Romans Graphiques,Angeli, Eliane,Dumontheuil, Nicolas,Casterman,2001-10-01
Cyclopes,La recrue,1,2203392274,Science-Fiction,Matz,,Jacamon, Luc,Casterman,2005-09-21
Cyclopes,Le héros,2,2203392606,Science-Fiction,Matz,,Jacamon, Luc,Casterman,2006-09-22
Une aventure d'Astérix le Gaulois ,Astérix et les Normands,9,2205001906,Aventures Humoristiques,Goscinny, René,Uderzo, Albert,Dargaud,1974-04-01
Une aventure d'Astérix le Gaulois ,Le domaine des dieux,17,2205005820,Aventures Humoristiques,Goscinny, René,Uderzo, Albert,Dargaud,1979-01-01
