nom,prenom
Abouet, Marguerite
Abouet, Marguerite
Abouet, Marguerite
Abouet, Marguerite
Abouet, Marguerite
Spiegelman, Art
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Hergé,
Job,
Hergé,
Angeli, Eliane
Matz,
Matz,
Goscinny, René
Goscinny, René
Goscinny, René
Goscinny, René
Goscinny, René
Le Tendre, Serge
Léturgie, Jean
Le Tendre, Serge
De Groot, Bob
Gimenez, Juan
Achdé,
Sfar, Joann
Sfar, Joann
Corre, G.
Diaz Canales, Juan
Sfar, Joann
Dorison, Xavier
Diaz Canales, Juan
Sfar, Joann
Ferri, Jean-Yves
Larcenet, Manu
Morvan, Jean-David
Dorison, Xavier
Larcenet, Manu
Dorison, Xavier
Corbeyran, Éric
Dorison, Xavier
Larcenet, Manu
Diaz Canales, Juan
Diaz Canales, Juan
Martin, Roger
Martin, Roger
Arleston, Christophe
Tackian, Nicolas
Dutto, Olivier
Arleston, Christophe
Arleston, Christophe
Sala, Jean-Luc
Tackian, Nicolas
Crisse, Didier
Dutto, Olivier
Arleston, Christophe
Arleston, Christophe
Niles, Steve
Béka,
Richez, Hervé
Béka,
Schultz, Mark
Poc Lang, John
Morvan, Jean-David
Desberg, Stephen
Bourgeon, François
Bourgeon, François
Bourgeon, François
Bourgeon, François
Bourgeon, François
Balac,
Charles, Jean-François
Charles, Jean-François
Yslaire,
Yslaire,
Zep,
Zep,
Zep,
Zep,
Zep,
Dorison, Xavier
Zep,
Zep,
Dorison, Xavier
Zep,
Dorison, Xavier
Convard, Didier
Convard, Didier
Morvan, Jean-David
Zep,
Convard, Didier
Zep,
Convard, Didier
Convard, Didier
Yslaire,
Hubert,
Dorison, Xavier
Convard, Didier
Convard, Didier
Morvan, Jean-David
Morvan, Jean-David
Morvan, Jean-David
Dupré, Claude
Dupré, Claude
Yslaire,
Zep,
Zep,
Zep,
Saito, Takao
Py_,
Zep,
Zep,
Nury, Fabien
Lacoeuille, Philippe
Py_,
Zep,
Corbeyran, Éric
Zep,
Corbeyran, Éric
Bilal, Enki
Smolderen, Thierry
Jodorowsky, Alexandro
Jodorowsky, Alexandro
Jodorowsky, Alexandro
Ploy, Anne
Jodorowsky, Alexandro
Jodorowsky, Alexandro
Ploy, Anne
Dorison, Xavier
Jodorowsky, Alexandro
Ploy, Anne
Ploy, Anne
Ploy, Anne
Ploy, Anne
Gimenez, Juan
Nury, Fabien
Jodorowsky, Alexandro
Ploy, Anne
Bec, Christophe
Gimenez, Juan
Ploy, Anne
Ploy, Anne
Dorison, Xavier
Ploy, Anne
Ploy, Anne
Jodorowsky, Alexandro
Ploy, Anne
Nury, Fabien
Dorison, Xavier
Jodorowsky, Alexandro
Cavalieri, Joey
Cauvin, Raoul
Richez, Hervé
Richez, Hervé
Goupil, Jacky
Loisel, Régis
Richez, Hervé
Richez, Hervé
Richez, Hervé
Filippi, Denis-Pierre
Brunschwig, Luc
Yslaire,
Sobral, Patrick
Callède, Joël
Morvan, Jean-David
Duval, Fred
Sfar, Joann
Lyfoung, Patricia
Corbeyran, Éric
Corbeyran, Éric
Sobral, Patrick
Morvan, Jean-David
Morvan, Jean-David
Rand, Jason
Morvan, Jean-David
Ayroles, Alain
Sevestre, Muriel
Trondheim, Lewis
Turner, Laurent
Lupano, Wilfrid
Callède, Joël
Milhiet, Olivier
Gabella, Mathieu
Sobral, Patrick
Morvan, Jean-David
Sobral, Patrick
Trondheim, Lewis
Kirkman, Robert
Trondheim, Lewis
Sfar, Joann
Corbeyran, Éric
Kirkman, Robert
